id,Client_Name,Review
221,Meta Campanelli,Good place for dining out
222,Dyana Hickford,Average
223,Sheena Guirau,Amazing food but the service wasn't that good
224,Wes Worner,Good place for dining out
225,Nicol Colling,Good place for dining out
226,Layla Jeanon,Worth the money
227,Alyce Pudding,Amazing food but the service wasn't that good
228,Jazmin Huot,Amazing food but the service wasn't that good
229,Colin Liverock,Terrible experience
230,Agna Bodill,Was disappointed
231,Jerome Bruford,Got food poisoning
232,Kristan Kestle,Terrible experience
233,Trish McDirmid,Was disappointed
234,Lindy Easterbrook,Terrible experience
235,Law Labadini,Terrible experience
236,Lief McReidy,Great service
237,Marcos Lubeck,Average
238,Tamera Gulc,Was disappointed
239,Dana Christopherson,Definetely eating here again
240,Stefan Fawley,Had an amazing time here
241,Aurlie Vaz,The servers were rude and the food was cold
242,Kalil Paternoster,Great service
243,Fabien Bohling,Average
244,Pace Sandcraft,Had an amazing time here
245,Arlan Thornbarrow,Terrible experience
246,Marsh Legerwood,Amazing food but the service wasn't that good
247,Alard Petti,The servers were rude and the food was cold
248,Laurie Gasson,wouldn't recomment to anyone
249,Boone Newland,Had an amazing time here
250,Stefania Saiz,Had an amazing time here
251,Virge Moss,Definetely eating here again
252,Viva Tregidga,Good place for dining out
253,Nertie Gresly,Terrible experience
254,Gallagher Dunkley,Had an amazing time here
255,Arnuad McClunaghan,Average
256,Kimmy Charlson,Worth the money
257,Halimeda Bard,Worth the money
258,Jorge Janicijevic,Terrible experience
259,Orrin Bradtke,Average
260,Fulton Bayston,Average
261,Kent Nulty,Definetely eating here again
262,Wyndham Purveys,Had an amazing time here
263,Hadley Wisedale,Great service
264,Rainer Niccols,Worth the money
265,Jacquenetta Winslow,wouldn't recomment to anyone
266,Terrye Springle,Good place for dining out
267,Baron Dodding,Got food poisoning
268,Wilek Tomei,Terrible experience
269,Meridel Thripp,Terrible experience
270,Star Austick,Terrible experience
271,Abeu Danser,Good place for dining out
272,Thibaut Ketchell,Got food poisoning
273,Lorianna Harper,wouldn't recomment to anyone
274,Constantino Farrin,Great service
275,Darcie Lawrenz,Got food poisoning
276,Matthus Bailiss,Good place for dining out
277,Gwynne Mussotti,Terrible experience
278,Larina Clarkson,wouldn't recomment to anyone
279,Toiboid Ricardo,Great service
280,Orelia Chattell,Definetely eating here again
281,Tracie Stener,Was disappointed
282,Broderic M'Chirrie,Amazing food but the service wasn't that good
283,Artus Crucetti,Good place for dining out
284,Colleen Lynn,Was disappointed
285,Danni Manders,Terrible experience
286,Valentin Isles,Terrible experience
287,Nikkie Lenoir,Average
288,Glendon Dacks,wouldn't recomment to anyone
289,Janos Gatfield,Had an amazing time here
290,Lilith Derell,Got food poisoning
291,Rozele De Miranda,Got food poisoning
292,Killie Eaglestone,Had an amazing time here
293,Camel Herculson,Good place for dining out
294,Lira Hearson,Great service
295,Janifer Cuniam,Had an amazing time here
296,Osbert Doiley,Amazing food but the service wasn't that good
297,Linc Titcomb,wouldn't recomment to anyone
298,Bourke Thornhill,Had an amazing time here
299,Salvatore Benedetti,Great service
300,Julieta Maccrea,Terrible experience
301,Vic Nesbit,Worth the money
302,Javier Franzolini,Amazing food but the service wasn't that good
303,Alicia Gradwell,Good place for dining out
304,Donnell Belch,The servers were rude and the food was cold
305,Nye Muffin,Got food poisoning
306,Kane Whitmore,Good place for dining out
307,Jefferey Toppas,Good place for dining out
308,Kissiah Cranfield,Amazing food but the service wasn't that good
309,Mag McNeigh,Worth the money
310,Fawn Simacek,Terrible experience
311,Kaitlyn Sheaf,wouldn't recomment to anyone
312,Trude Kinny,Got food poisoning
313,Matthiew McSwan,Amazing food but the service wasn't that good
314,Teena Rosi,Good place for dining out
315,Hadleigh Iorillo,Had an amazing time here
316,Stanton Quested,Terrible experience
317,Camellia Kitney,Got food poisoning
318,Stearn Sibille,Terrible experience
319,Saudra Ruffler,The servers were rude and the food was cold
320,Conny Bleeze,Terrible experience
321,Adan Roja,Was disappointed
322,Seana Halligan,Amazing food but the service wasn't that good
323,Cammy Rosenzwig,Amazing food but the service wasn't that good
324,Lelia Terrelly,Amazing food but the service wasn't that good
325,Sharona Visick,Got food poisoning
326,Cord Longmate,Good place for dining out
327,Joyann Priel,Worth the money
328,Sharon Howden,Got food poisoning
329,Jerrilee Pettecrew,Great service
330,Tedda Etridge,The servers were rude and the food was cold
331,Myrtice Antrack,wouldn't recomment to anyone
332,Oralla Tineman,Average
333,Manuel Print,Was disappointed
334,Curtis Purvis,Had an amazing time here
335,Junette Jenken,Worth the money
336,Walsh Dinnage,Average
337,Sissy Caccavale,Amazing food but the service wasn't that good
338,Isidoro Meas,Was disappointed
339,Ardis Messum,Good place for dining out
340,Stanfield Plain,Good place for dining out
341,Osgood Pepperill,Got food poisoning
342,Rhonda Solman,Had an amazing time here
343,Dru Reveland,Average
344,Kingston Jagson,Terrible experience
345,Maxie Anfonsi,wouldn't recomment to anyone
346,Ag Ibarra,Was disappointed
347,Magdalena Keech,Worth the money
348,Luella Stolberg,Was disappointed
349,Betti Elmhirst,Had an amazing time here
350,Kirby Lope,Worth the money
351,Natty Philipsen,Definetely eating here again
352,Sarajane Bull,Terrible experience
353,Christoper Eggerton,Had an amazing time here
354,Rolando Dransfield,Worth the money
355,Cherie Applegate,The servers were rude and the food was cold
356,Ivette Sadgrove,Was disappointed
357,Christan Ecclesall,wouldn't recomment to anyone
358,Allx Waind,Terrible experience
359,Grenville Widdup,Amazing food but the service wasn't that good
360,Antonin Yosifov,Terrible experience
361,Domeniga Sprules,The servers were rude and the food was cold
362,Gwendolin Lewnden,Average
363,Brett Degnen,The servers were rude and the food was cold
364,Gideon Draycott,Great service
365,Anatola Ivkovic,The servers were rude and the food was cold
366,Charmain Miklem,Definetely eating here again
367,Lilian Buttrum,Great service
368,Aundrea Mattheus,Good place for dining out
369,Kristoforo Mutton,Average
370,Raf Toulson,The servers were rude and the food was cold
371,Frankie Swainston,Worth the money
372,Sidoney Lavies,Average
373,Myrta Strickland,Terrible experience
374,Conrad Hinrich,Average
375,Layne Lagden,Definetely eating here again
376,Minne Chedzoy,Was disappointed
377,Elli Vanne,Definetely eating here again
378,Andrey Martello,Had an amazing time here
379,Donny Giovannacc@i,Definetely eating here again
380,Logan Greenhalf,Good place for dining out
381,Carlene Bidgood,Great service
382,Lian O'Dreain,Great service
383,Noby Castaner,Was disappointed
384,Genevra Ruslinge,wouldn't recomment to anyone
385,Merle Caulcott,Good place for dining out
386,Anissa Donnelly,Amazing food but the service wasn't that good
387,Stacia Filipychev,The servers were rude and the food was cold
388,Maris Ambroziak,wouldn't recomment to anyone
389,Harrie Braund,Amazing food but the service wasn't that good
390,Lauritz Stillmann,Great service
391,Shirlee Preshaw,wouldn't recomment to anyone
392,Wynnie Diamant,Amazing food but the service wasn't that good
393,Nannie Bakes,Average
394,Carola Thebe,Great service
395,Damon Benezeit,Amazing food but the service wasn't that good
396,Lucais Granger,Was disappointed
397,Carrol Seally,Average
398,Dewey Cleary,Terrible experience
399,Hadley Whitney,Average
400,Georas Cullrford,wouldn't recomment to anyone
401,Ezekiel Gadault,Was disappointed
402,Daron Troucher,Average
403,Budd A'field,The servers were rude and the food was cold
404,Nikos Mayger,The servers were rude and the food was cold
405,Tanhya Gussin,Great service
406,Celle Mazey,Definetely eating here again
407,Spenser Sarsons,Terrible experience
408,Grady Sotham,Great service
409,Sal Raymond,The servers were rude and the food was cold
410,Verne Penlington,Definetely eating here again
411,Jonas Byrch,Average
412,Jorge Tander,The servers were rude and the food was cold
413,Michaeline Jouhan,Terrible experience
414,Corbet Atkin,Terrible experience
415,Kile Campa,Was disappointed
416,Liz Impson,Had an amazing time here
417,Mavra Malser,Definetely eating here again
418,Selinda Itzkovici,Great service
419,Jackquelin Boyd,Great service
420,Ardelle Raw,Terrible experience
421,Shaylyn Overton,Great service
422,Neely Patron,Amazing food but the service wasn't that good
423,Isadora Iacopini,Definetely eating here again
424,Tamar Pinnere,Worth the money
425,Martita Broadbent,Average
426,Bellanca Chasen,Definetely eating here again
427,Annabelle Faulkener,Was disappointed
428,Giacinta Yardley,Good place for dining out
429,Jennette Noods,wouldn't recomment to anyone
430,Merlina Moncey,Definetely eating here again
431,Gabi Escalero,wouldn't recomment to anyone
432,Robinette Giannoni,wouldn't recomment to anyone
433,Reginald Cradoc,Great service
434,Amalie Walkden,Worth the money
435,Ewart Beckenham,Average
436,Atlanta Snaith,Got food poisoning
437,Lea Maruszewski,Worth the money
438,Clywd De Goey,Was disappointed
439,Maggee Al Hirsi,Great service
440,Lyn Dami,Amazing food but the service wasn't that good
441,Aldridge Espada,Amazing food but the service wasn't that good
442,Guthry Seint,Good place for dining out
443,Cacilia Crame,Terrible experience
444,Dougie Baulcombe,Definetely eating here again
445,Rudyard O'Heneghan,Was disappointed
446,Dur Braidford,The servers were rude and the food was cold
447,Molli Wais,Was disappointed
448,Adella Fludgate,Terrible experience
449,Bill Davidove,Amazing food but the service wasn't that good
450,Simonne Oehme,wouldn't recomment to anyone
451,Winfred Seaton,Definetely eating here again
452,Dacie McFfaden,Great service
453,Marge Greedyer,Amazing food but the service wasn't that good
454,Frasco Catonne,Average
455,Orland Ogdahl,The servers were rude and the food was cold
456,Benedikt Bwye,Got food poisoning
457,Euell Defau,Average
458,Deedee Cuerda,Average
459,Dougy Falconbridge,Definetely eating here again
460,Andras Copland,Was disappointed
461,Brittaney Mannock,Worth the money
462,Gerardo Pach,Was disappointed
463,Lavena Stainbridge,Good place for dining out
464,Job Reckus,Average
465,Janean Folonin,Terrible experience
466,Darcy Merriott,Terrible experience
467,Yulma Leeman,Great service
468,Keslie Maghull,wouldn't recomment to anyone
469,Price Winskill,Great service
470,Correy Kobke,Worth the money
471,Sumner Diver,Definetely eating here again
472,Mervin Fairchild,Got food poisoning
473,Laraine Suttie,Had an amazing time here
474,Ronica Grodden,Had an amazing time here
475,Laurens Pfaffe,Got food poisoning
476,Waring Rolston,Was disappointed
477,Kaitlyn Thomassen,Amazing food but the service wasn't that good
478,Christye Grisenthwaite,Was disappointed
479,Tallulah Shackel,wouldn't recomment to anyone
480,Junia Mathy,Got food poisoning
481,Niki Awde,Was disappointed
482,Bunny Hayfield,The servers were rude and the food was cold
483,Saunders MacCarter,Amazing food but the service wasn't that good
484,Deedee Aubry,wouldn't recomment to anyone
485,Daffie Flippen,Definetely eating here again
486,Constantia Stratz,Definetely eating here again
487,Fenelia Cubbino,Had an amazing time here
488,Lionel Hurl,Worth the money
489,Ali Holdey,Amazing food but the service wasn't that good
490,Colene MacKerley,Average
491,Inglebert Seefeldt,Average
492,Cherri Sprey,Worth the money
493,Gerick Almond,Amazing food but the service wasn't that good
494,Persis Krout,wouldn't recomment to anyone
495,Brear Casaccio,Got food poisoning
496,Wilt Peachment,wouldn't recomment to anyone
497,Zena Cudde,Average
498,Elnore Annesley,The servers were rude and the food was cold
499,Charo Saltern,Good place for dining out
500,Aeriel Christoffersen,Terrible experience
501,Maribelle Dutnall,Definetely eating here again
502,Marcellus Searight,Definetely eating here again
503,Tabb Peaden,Terrible experience
504,Evelin Spraging,Had an amazing time here
505,Jess Covil,Great service
506,Abbey O'Gaven,Good place for dining out
507,Libbey McCollum,Worth the money
508,Dayna Dedman,Got food poisoning
509,Gabriele Kohn,Great service
510,Mahala Yearnes,Terrible experience
511,Teodora Suthren,Amazing food but the service wasn't that good
512,Rick Gergolet,Was disappointed
513,Lora Andrick,Great service
514,Yulma Hanse,Amazing food but the service wasn't that good
515,Lynn Sill,Terrible experience
516,Corny Chater,The servers were rude and the food was cold
517,Beryle Bollini,Great service
518,Bax Mulcahy,wouldn't recomment to anyone
519,Washington Blann,Worth the money
520,Othella Waymont,Was disappointed
521,Findlay Mateus,Definetely eating here again
522,Amory Cremen,The servers were rude and the food was cold
523,Betta Hames,Average
524,Karlotta Bilam,Average
525,Gaspar Takis,wouldn't recomment to anyone
526,Claudell Sanger,Terrible experience
527,Joyce Roch,Worth the money
528,Granger Harrowell,Worth the money
529,Page Tegeller,Terrible experience
530,Adriano Lawrence,Got food poisoning
531,Jayson Jina,wouldn't recomment to anyone
532,Ivar Clinton,Great service
533,Lucilia McClifferty,The servers were rude and the food was cold
534,Clevie Fattore,Had an amazing time here
535,Ariella Walisiak,Terrible experience
536,Cameron Titcomb,Was disappointed
537,Meyer Thombleson,Good place for dining out
538,Sadella Denson,Good place for dining out
539,Duff Sego,The servers were rude and the food was cold
540,Dion Skellorne,The servers were rude and the food was cold
541,Merilee De La Haye,Good place for dining out
542,Leesa Lovitt,Terrible experience
543,Anya Sloane,Had an amazing time here
544,Jo-ann Barlace,Average
545,Roderich Bettis,Average
546,Bogart Beneteau,Good place for dining out
547,Cacilie Jeannequin,Got food poisoning
548,Free Wingate,Good place for dining out
549,Roseann Bareham,Had an amazing time here
550,Gussy Gilliam,Had an amazing time here
551,Kenon Thorwarth,Worth the money
552,Clay Laws,Good place for dining out
553,Gaspard Sermin,Great service
554,Merrielle Claxson,Worth the money
555,Kameko Eltringham,Definetely eating here again
556,Milzie Tropman,Definetely eating here again
557,Debora Kubik,Amazing food but the service wasn't that good
558,Nicola Wilkin,Definetely eating here again
559,Tiphani De Rye Barrett,Definetely eating here again
560,Kalli Folini,Average
561,Ryon Docwra,Was disappointed
562,Yancey Philippson,Amazing food but the service wasn't that good
563,Elna Jacop,Definetely eating here again
564,Loleta McEneny,Got food poisoning
565,Eduard Lowdeane,Had an amazing time here
566,Trescha Loutheane,Average
567,Wendy Ffoulkes,Terrible experience
568,Morganica Abrey,Worth the money
569,Tomlin Maunder,Had an amazing time here
570,Jeth Danilyak,Great service
571,Zeke Sambrok,Terrible experience
572,Cyrus Robberts,Great service
573,Stormie Balcombe,Got food poisoning
574,Martynne O'Brian,Terrible experience
575,Chery Rivard,Worth the money
576,Ronnie Wardrop,Terrible experience
577,Cos Scardifield,Definetely eating here again
578,Goldie Gages,Worth the money
579,Jocelyn Holyland,Terrible experience
580,Halsey Afield,Average
581,Allister Sunshine,wouldn't recomment to anyone
582,Wilmer Potteridge,Had an amazing time here
583,Gavin Bampton,Terrible experience
584,Osgood Hodgon,Amazing food but the service wasn't that good
585,Monroe Rustan,wouldn't recomment to anyone
586,Had Fisk,Had an amazing time here
587,Annabell Spendlove,Average
588,Diandra Strathman,Got food poisoning
589,Cole MacTrustam,Good place for dining out
590,Jude Belfitt,Average
591,Nicolais Petrak,Got food poisoning
592,Myrtie Pitkaithly,Worth the money
593,Cherye Chadbourn,Good place for dining out
594,Susette Tolfrey,Great service
595,Aubry Rist,Had an amazing time here
596,Mohandas Casbourne,Definetely eating here again
597,Justinn Simonds,Great service
598,Halie Gallone,Got food poisoning
599,Tremayne Griston,The servers were rude and the food was cold
600,Loella Harfleet,Was disappointed
601,Adelaida Farrell,Was disappointed
602,Florencia Astbury,Was disappointed
603,Dallis Sowerbutts,Terrible experience
604,Pearline Speeding,Amazing food but the service wasn't that good
605,Nappie Palmer,Terrible experience
606,Rossy Reagan,Was disappointed
607,Bear Camellini,Definetely eating here again
608,Ellynn Allcoat,Terrible experience
609,Robena Jayne,wouldn't recomment to anyone
610,Jennee Hadlee,Good place for dining out
611,Mollee Theis,Amazing food but the service wasn't that good
612,Bernelle Loweth,Worth the money
613,Elvina Geldart,Good place for dining out
614,Charmain Rapp,Terrible experience
615,Cherye Cominetti,Average
616,Morly Grimbaldeston,The servers were rude and the food was cold
617,Hildegaard Shobrook,Average
618,Melesa Badger,Got food poisoning
619,Cleavland Kall,Was disappointed
620,Laurent Dmitrievski,Amazing food but the service wasn't that good
621,Gail Poulson,Had an amazing time here
622,Lillian Jancey,Definetely eating here again
623,Tersina Peschmann,Terrible experience
624,Judith Ree,The servers were rude and the food was cold
625,Kaela Nickoles,Was disappointed
626,Rena Pobjoy,Worth the money
627,Saxon Sheringham,wouldn't recomment to anyone
628,Edi Bulman,Amazing food but the service wasn't that good
629,Blisse Vogele,Good place for dining out
630,Merrielle Sandyford,Definetely eating here again
631,Nataline Bucktrout,Was disappointed
632,Theo Claridge,Terrible experience
633,Barnard Head,Terrible experience
634,Bren Trenbay,wouldn't recomment to anyone
635,Fidel Pester,Great service
636,Idalia Madsen,The servers were rude and the food was cold
637,Waring Prestland,Definetely eating here again
638,Saba Sambells,Was disappointed
639,Victoir Timmins,Worth the money
640,Livia Kemery,Terrible experience
641,Rufe Medmore,Definetely eating here again
642,Avivah Kilby,Was disappointed
643,Merrile Dunbabin,Terrible experience
644,Anna-diane Ison,Amazing food but the service wasn't that good
645,Tanitansy Mapson,Great service
646,Irv Elmhirst,Got food poisoning
647,Nicolas Ingley,Was disappointed
648,Ivory Stigell,Was disappointed
649,Dede Torre,Terrible experience
650,Evie O'Sharkey,Good place for dining out
651,Sigmund Shieldon,wouldn't recomment to anyone
652,Kale Rottgers,The servers were rude and the food was cold
653,Mariska Chatband,Worth the money
654,Emlen Muselli,Amazing food but the service wasn't that good
655,Pail Kimpton,wouldn't recomment to anyone
656,Joeann Kalvin,The servers were rude and the food was cold
657,Cherry Kettles,Great service
658,Hildy Scourge,The servers were rude and the food was cold
659,Kellen Staley,The servers were rude and the food was cold
660,Neddy Simonnin,wouldn't recomment to anyone
661,Evita Taynton,Terrible experience
662,Daryn Muris,Got food poisoning
663,Linda Mapham,Great service
664,Hilliary Moakes,Had an amazing time here
665,Miran McGrae,Was disappointed
666,Jana Bagshaw,Had an amazing time here
667,Aguie Burroughes,Worth the money
668,Audrey Bogies,Had an amazing time here
669,Cori Flanaghan,Terrible experience
670,Zolly Podbury,Amazing food but the service wasn't that good
671,Lou Saltmarsh,Had an amazing time here
672,Debra Cattemull,Was disappointed
673,Ursola Cornborough,Terrible experience
674,Allix Issatt,Got food poisoning
675,Wallas Addinall,Average
676,Tani Tomasicchio,Definetely eating here again
677,Ginni Curnokk,wouldn't recomment to anyone
678,Maurene Jaquiss,Amazing food but the service wasn't that good
679,Whitman Duffill,wouldn't recomment to anyone
680,Leora Ferrone,Great service
681,Sharline Littlejohns,Got food poisoning
682,Marin Szymanzyk,Definetely eating here again
683,Paige Canavan,Average
684,Jenni Sewley,Was disappointed
685,Nikolaus Leacock,Average
686,Gui Sheeran,Good place for dining out
687,Egan Tuke,Definetely eating here again
688,Esma Fligg,Got food poisoning
689,Granger Farens,Had an amazing time here
690,Baird Bachshell,Worth the money
691,Wright Barriball,Amazing food but the service wasn't that good
692,Devinne Britt,Got food poisoning
693,Leandra Ducket,Was disappointed
694,Mariette Higgen,Worth the money
695,Barney Danielot,Average
696,Emmy Sackes,Had an amazing time here
697,Dinnie Line,Was disappointed
698,Mac Huckel,Terrible experience
699,Jobye Boyles,Had an amazing time here
700,Orsola FitzGilbert,Got food poisoning
701,Philis Jeffree,Definetely eating here again
702,Avery Kitchingman,Definetely eating here again
703,Darrel Skarman,Definetely eating here again
704,Kelci Rosoman,The servers were rude and the food was cold
705,Tracie Jessard,Good place for dining out
706,Kalvin Tomkys,The servers were rude and the food was cold
